station,draws_per_chain,rhat_mu,ess_mu,rhat_sigma,ess_sigma,rhat_xi,ess_xi,rhat_z100,ess_z100
USC00010402,2000,1.0016863248963328,2491.964017152727,1.0035535331337877,1571.3366109664812,1.0022445138662162,669.3254516095575,1.0012164555088057,1222.4678668343465
USC00012813,2000,1.001176625677605,1599.0334659139023,1.0039107711896276,1259.4565243539166,1.0123939507553663,319.82286435370077,1.0086517641008934,507.99442697673345
USC00013160,2000,1.0009745905139036,2288.253107915237,1.0021651856828624,1562.0029323381382,1.0024003598891853,647.9251775485525,1.0004592020662957,1117.3634958337018
USC00016121,2000,1.0011387815891037,2730.0496928602583,1.0025116912631928,2110.628536508964,1.0020963686372222,1172.879506648799,1.0010388825583667,1919.1942218758938
USC00020750,2000,1.0039146651962318,2109.641618962753,1.0050167145742892,1148.2110077692087,1.0148706084349155,384.84271176858,1.006914362627886,744.1246922241055
USC00024453,2000,1.002852623426542,1956.8189624528006,1.0032698324151879,1424.3109531704356,1.003817163486405,506.5123444526041,1.0009585356495287,794.1046269748097
USC00026353,2000,1.001736370518379,1603.7154118763056,1.0033049017405993,1076.774673045823,1.007327339978781,260.40483221129784,1.0079080660702961,365.4259546225626
USC00027281,2000,1.0012636106226396,2380.732603908326,1.0057104143714815,1415.900379895216,1.0147293711961984,406.66919376938125,1.0067022102761842,710.6780792096426
USC00027708,2000,1.0035143184240765,1493.4975173152545,1.0031097155951152,1065.5951936923693,1.004312131448716,422.5254140317547,1.0015918500715308,696.6151758370854
USC00027855,2000,1.0007836433383523,1711.144516072069,1.0028211086189582,1126.5056454293735,1.008734963030342,348.22918213674274,1.0050982617567903,646.9929242430115
USC00030130,2000,1.0041393579490459,2076.0579359830444,1.0041496197209794,1388.2286653593762,1.0073247620838195,551.6925835258608,1.0045929720585582,825.66600021044
USC00030460,2000,1.0008710853583591,2602.0073097130253,1.0025508661758522,1861.2094015109055,1.0027369194237437,629.7316024206733,1.002919212017871,884.9520670439346
USC00031152,2000,1.001300776019714,2253.0976047447207,1.0034478763043542,1738.3285424046974,1.0034630518743917,694.6077120456496,1.0018040883173978,1333.2651762164794
USC00031632,2000,1.0008231262623597,2410.4584528584505,1.003710170777978,1573.765853688891,1.0025996081590323,694.439974458754,1.0008839910683407,1211.4928942078404
USC00031962,2000,1.0020190310167878,2288.578737013736,1.0037612556228175,1368.847437083854,1.0071050410918678,500.4067590759037,1.004032850946418,931.7912193461585
USC00040161,2000,1.0008996260742324,2149.3583108746852,1.0032931106479006,1602.8244840817083,1.0041166698033201,706.8810580234011,1.0026297139968645,1455.612180351866
USC00042214,2000,1.0032603981752135,2154.009864926406,1.0045325617938716,1801.1244059311186,1.0052088073269825,739.5859543905545,1.002302879222995,986.3856677318108
USC00042294,2000,1.0009835236677338,2638.873042021384,1.0025459313520766,1651.091545279462,1.0053086719497384,745.517512002344,1.0013149942303659,1714.9856214184128
USC00043463,2000,1.0010152519534363,2840.8703320865984,1.003473934490699,1892.0404129355313,1.0070401353019671,559.3162260646351,1.003446548662513,1159.7885766517668
USC00043551,2000,1.0016852687320947,1825.1221991627017,1.0046247879992223,948.9331674685696,1.0068301996437892,457.3905712813414,1.00289564852979,1072.5646314668595
USC00043761,2000,1.0014719822232725,2824.9768554258344,1.003713991354298,1854.0582808857555,1.0065258565315536,703.7944160639073,1.0026184161179084,1454.6357927760268
USC00044259,2000,1.0008521758169064,2540.446819892966,1.0055644491596967,1475.8666010512648,1.005280289933144,578.4592310462795,1.0019745121501569,1968.4853369413177
USC00044297,2000,1.0001650171171141,2658.319478367794,1.003835192025657,2135.513671319167,1.0043015972353069,956.3589479207367,1.001896533349843,1626.8947500842728
USC00044997,2000,1.0015712641231742,2815.4599331980094,1.00369832758109,1541.221323895616,1.0072451618193827,606.5121490788978,1.0035051172334029,1258.6155609858226
USC00046006,2000,1.0016154013085257,2287.416937286941,1.0008465041288332,1770.5348148872072,1.0028829630074583,683.1301589771247,1.0020834255167284,978.2772650496021
